User,Date Created,Number of Likes,Source of Tweet,Tweet
Tim Cook,2024-04-15 13:57:59+00:00,5019,,"Thanks to the very talented VietMax for showing me how iPhone and iPad fit into his dance and street art workflows, and to rapper Suboi for sharing her newest song in Spatial Audio! It was incredible to see the energetic Vietnamese hip-hop culture! https://t.co/OrckdJSZV3"
Tim Cook,2024-04-15 12:22:25+00:00,3855,,Developers CollaNote &amp; ELSA Speak walked me through how they use Apple products to help customers boost productivity and learn. Bootloader Studio shared the new app they’re working on for Vision Pro. All three are fantastic examples of Vietnam’s fast growing developer community! https://t.co/YjOxyB6qTJ
Tim Cook,2024-04-15 09:47:36+00:00,7648,,"Phuong Vu and his team are wildly creative. They showed me how they use iPhone, iPad, and Mac to bring everything and anything from their imagination to life in Nirvana Space - an artistic workshop like no other! https://t.co/jpsjLsnv6O"
Tim Cook,2024-04-15 06:15:57+00:00,12755,,Hoan Kiem Lake in Hanoi is as beautiful as it is iconic! It was amazing to spend time with Duy and see his creative process using Cinematic mode on iPhone 15 Pro. https://t.co/5INkRcew1r
Tim Cook,2024-04-15 04:20:50+00:00,17550,,"Xin chào, Vietnam! Thank you to the very talented musicians My Linh and My Anh for such a warm welcome. And I loved the egg coffee! https://t.co/vBGwatuXG1"
Tim Cook,2024-04-09 19:23:30+00:00,5959,,"Leading companies in every industry are leveraging the power of spatial computing, from product design to immersive training—even during prep for surgery! The potential of Apple Vision Pro to change the way we work is limitless. https://t.co/LMtHUAiONE"
Tim Cook,2024-03-31 21:00:02+00:00,8877,,"Today and every day, let's commit to creating a world where all transgender people are treated with the dignity and respect that everyone is due. #TransDayofVisibility"
Tim Cook,2024-03-31 15:00:00+00:00,15914,,Happy Easter! 🐇
Tim Cook,2024-03-25 05:46:56+00:00,19010,,Happy Holi to all who celebrate! Thank you @joshuakarthikr for sharing this beautiful #ShotOniPhone photo that captures the colorful festival. https://t.co/HpJWRm93PH
Tim Cook,2024-03-17 19:27:21+00:00,5050,,Congratulations!! @coachbrucepearl @AuburnMBB SEC Champions War Eagle!  #Auburn
